Latitude,Longitude,Suburb/Town,Address,Phone,Locality Name,Municipality Name,Categories
-37.98180541,145.0337148,Beaumaris,96 Reserve Road  Beaumaris  3193,9599 4368,Beaumaris,Bayside City Council,['Library']
-37.82169492,145.15225669999998,Blackburn,Cnr Blackburn & Central Roads  Blackburn  3130,9878 6851,Blackburn,Whitehorse City Council,['Library']
-37.863820000000004,145.28448999999998,Boronia,Park Crescent  Boronia  3155,9762 4099,Boronia,Knox City Council,['Library']
-37.81834525,145.1267976,Box Hill,1040 Whitehorse Road  Box Hill  3128,9890 1002,Box Hill,Whitehorse City Council,['Library']
-37.91087399,144.99760700000002,Brighton,14 Wilson Street  Brighton  3186,9591 5900,Brighton,Bayside City Council,['Library']
-37.20350566,145.0471688,Broadford,10/29 Powlett Street  Broadford  3658,5784 3357,Broadford,Mitchell Shire Council,['Library']
-37.77191,144.961131,Brunswick,Corner of Sydney Road and Dawson Street  Brunswick  3056,9389 8600,Brunswick,Moreland City Council,['Library']
-37.78951849,144.9715862,Carlton,667 Rathdowne Street  Carlton  3054,1300 695 427,Carlton,Melbourne City Council,['Library']
-38.10867319,145.179497,Carrum Downs,203 Lyrebird Drive  Carrum Downs  3201,9782 0418,Carrum Downs,Frankston City Council,['Library']
-38.05060886,145.1161004,Chelsea,1 Chelsea Road  Chelsea  3196,1300 135 668,Chelsea,Kingston City Council,['Library']
-37.96766324,145.0565558,Cheltenham,12 Stanley Avenue  Cheltenham  3192,1300 135 668,Cheltenham,Bayside City Council,['Library']
-37.96766324,145.0565558,Cheltenham,12 Stanley Avenue  Cheltenham  3192,1300 135 668,Cheltenham,Kingston City Council,['Library']
-37.94047325,145.10211230000002,Clarinda,58 Viney Street  Clarinda  3169,1300 135 668,Clarinda,Kingston City Council,['Library']
-37.74325,144.96533,Coburg,Cnr Victoria & Louisa Streets  Coburg  3058,9353 4000,Coburg,Moreland City Council,['Library']
-37.59831531,144.9339585,Craigieburn,59 Craigieburn Road  Craigieburn  3064,9308 2511,Craigieburn,Hume City Council,['Library']
-38.11468016,145.2965794,Cranbourne,65 Berwick-Cranbourne Road  Cranbourne  3977,(03) 5996 3611,Cranbourne,Casey City Council,['Library']
-37.994749,145.238459,Doveton,Autumn Place  Doveton  3177,(03) 9792 9497,Doveton,Casey City Council,['Library']
-37.81537953,144.9865314,East Melbourne,122 George St  East Melbourne  3002,9658 9600,East Melbourne,Melbourne City Council,['Library']
-37.978239,145.259917,Endeavour Hills,Raymond McMahon Blvd  Endeavour Hills  3802,(03) 9700 7177,Endeavour Hills,Casey City Council,['Library']
-37.702514,144.97001699999998,Fawkner,Jukes Road  Fawkner  3060,9355 4200,Fawkner,Moreland City Council,['Library']
-37.702514,144.97001699999998,Fawkner,Jukes Road  Fawkner  3060,9355 4200,Fawkner,Hume City Council,['Library']
-37.89044262,145.29121640000002,Ferntree Gully,1010 Burwood Highway  Ferntree Gully  3156,9294 8140,Ferntree Gully,Knox City Council,['Library']
-37.78846916,144.930478,Flemington,313 Racecourse Road  Flemington  3031,8325 1975,Flemington,Melbourne City Council,['Library']
-38.14573441,145.1236738,Frankston,60 Playne Street  Frankston  3199,9784 1020,Frankston,Frankston City Council,['Library']
-37.689205,144.890633,Gladstone Park,Taylor Drive  Gladstone Park  3043,9338 8529,Gladstone Park,Hume City Council,['Library']
-37.70675552,144.9160004,Glenroy,737 Pascoe Vale Road  Glenroy  3046,8311 4100,Glenroy,Moreland City Council,['Library']
-37.93881793,145.0028226,Hampton,1D Service Street  Hampton  3188,9599 4362,Hampton,Bayside City Council,['Library']
-38.03400092,145.2640263,Hampton Park,22-26 Stuart Avenue  Hampton Park  3976,(03) 9702 9744,Hampton Park,Casey City Council,['Library']
-37.94907561,145.0433521,Highett,310 Highett Road  Highett  3190,1300 135 668,Highett,Bayside City Council,['Library']
-37.94907561,145.0433521,Highett,310 Highett Road  Highett  3190,1300 135 668,Highett,Kingston City Council,['Library']
-37.719489,144.833112,Keilor,Kennedy Street  Keilor  3036,9336 4191,Keilor,Hume City Council,['Library']
-37.29441653,144.95185680000003,Kilmore,12 Sydney St  Kilmore  3764,5782 1322,Kilmore,Mitchell Shire Council,['Library']
-37.68479291,144.5823561,Melton,31 McKenzie Street  Melton  3337,9743 1168,Melton,Melton City Council,['Library']
-37.849926,144.96215,Middle Park,Cnr Nimmo and Richardson Streets  Middle Park  3206,9209 6633,Middle Park,Port Phillip City Council,['Library']
-37.934082000000004,145.038011,Moorabbin,Shop 5  Taylor St  Moorabbin  3189,1300 135 668,Moorabbin,Kingston City Council,['Library']
-38.01931,145.30199,Narre Warren,Overland Drive   Narre Warren  3805,(03) 9704 7696,Narre Warren,Casey City Council,['Library']
-37.80355018,144.9497854,North Melbourne,66 Errol Street  North Melbourne  3051,9658 9700,North Melbourne,Melbourne City Council,['Library']
-37.81771962,145.18144880000003,Nunawading,379 Whitehorse Road  Nunawading  3131,9873 5638,Nunawading,Whitehorse City Council,['Library']
-37.99338747,145.07768330000002,Parkdale,96 Parkers Road  Parkdale  3195,1300 135 668,Parkdale,Kingston City Council,['Library']
-37.83573218,144.944679,Port Melbourne,333 Bay Street  Port Melbourne  3207,9209 6644,Port Melbourne,Melbourne City Council,['Library']
-37.83573218,144.944679,Port Melbourne,333 Bay Street  Port Melbourne  3207,9209 6644,Port Melbourne,Port Phillip City Council,['Library']
-37.919743,145.237253,Rowville,Stud Rd  Rowville  3178,9294 1300,Rowville,Knox City Council,['Library']
-37.948848999999996,145.00256000000002,Sandringham,Waltham Street  Sandringham  3191,9533 1894,Sandringham,Bayside City Council,['Library']
-37.03090355,145.1468516,Seymour,125 Anzac Avenue  Seymour  3660,5792 1861,Seymour,Mitchell Shire Council,['Library']
-37.86799981,144.9888216,St Kilda,150 Carlisle Street  St Kilda  3182,9209 6655,St Kilda,Port Phillip City Council,['Library']
-37.580484000000006,144.73511000000002,Sunbury,Macedon Street  Sunbury  3429,9744 2991,Sunbury,Hume City Council,['Library']
-37.70224088,144.8736272,Tullamarine,59 Spring Street  Tullamarine  3043,9338 9407,Tullamarine,Moreland City Council,['Library']
-37.70224088,144.8736272,Tullamarine,59 Spring Street  Tullamarine  3043,9338 9407,Tullamarine,Hume City Council,['Library']
-37.854452,145.181337,Vermont South,Pavey Place  Vermont South  3133,9887 9646,Vermont South,Whitehorse City Council,['Library']
-37.412420000000004,144.97808999999998,Wallan,Wellington Square  Wallan  3756,5783 3555,Wallan,Mitchell Shire Council,['Library']
-37.876979999999996,144.68209,Werribee,Cnr Heaths and Derrimut Roads  Werribee  3030,9748 9333,Werribee,Wyndham City Council,['Library']
