Address,Categories,Changerooms,Facility Condition,Field Surface Type,Historical Information,Latitude,Longitude,Municipality,Number of Field Courts,Place Name,Sports Played,Url
Ballan Road WERRIBEE 3030,"['Sport', 'Netball']","Female, Male",4. Good,Hard Court,,-37.898601,144.64031600000000,Wyndham,5.0,Werribee Sports & Fitness Centre,Netball,
Graham Court HOPPERS CROSSING 3029,"['Sport', 'Netball (indoor)']",,,,,-37.872,144.7275,Wyndham,2.0,Hoppers Indoor Sportz,Netball (indoor),
13 Riverside Avenue WERRIBEE 3030,"['Sport', 'Netball (Indoor)']",,,Carpet Playing Surface,,-37.913492,144.659074,Wyndham,5.0,Riverside Indoor Sports,Netball (Indoor),
K Road WERRIBEE 3030,"['Sport', 'Polo']",,,,,-37.924111000000000,144.67498,Wyndham,2.0,National Equestrian Centre,Polo,
Clearwood Drive TRUGANINA,"['Sport', 'Rugby League']",,,,,-37.840037,144.71783,Wyndham,2.0,Clearwood Drive Reserve,Rugby League,
Haines Road WYNDHAM VALE 3024,"['Sport', 'Rugby League']","Female, Male, Umpire/Officials",5. Very Good,,,-37.897069,144.609389,Wyndham,2.0,Haines Drive Reserve,Rugby League,
Heaths Road HOPPERS CROSSING 3029,"['Sport', 'Rugby Union']","Umpire/Officials, Unisex",3. Average,Grass,,-37.877437,144.692478,Wyndham,2.0,Mossfiel Reserve,Rugby Union,
Ballan Road WERRIBEE 3030,"['Sport', 'Shooting Sports']",,,,,-37.898303000000000,144.640603,Wyndham,,Wyndham Handgun Club,Shooting Sports,
Boardwalk Boulevard POINT COOK 3030,"['Sport', 'Skating']",,3. Average,Concrete,,-37.880556,144.73533600000000,Wyndham,1.0,Boardwalk Skate Park,Skating,
McGraths Road WERRIBEE 3030,"['Sport', 'Skating']",,3. Average,Concrete,,-37.881810000000000,144.634572,Wyndham,1.0,Presidents Park,Skating,
Forsyth Road TRUGANINA 3029,"['Sport', 'Soccer']","Female, Male, Umpire/Officials, Unisex",5. Very Good,Grass,,-37.860804000000000,144.729419,Wyndham,2.0,Forsyth Road Reserve,Soccer,
Shaws Road WERRIBEE 3030,"['Sport', 'Soccer']","Umpire/Officials, Unisex",4. Good,Grass,,-37.88706,144.650409,Wyndham,3.0,Galvin Park,Soccer,
Hogans Road HOPPERS CROSSING 3029,"['Sport', 'Soccer']","Umpire/Officials, Unisex",5. Very Good,Grass,,-37.860885000000000,144.676572,Wyndham,2.0,Grange Reserve Soccer Complex,Soccer,
You Yangs Road LITTLE RIVER 3211,"['Sport', 'Skating']",,,Concrete,,-37.961417,144.497406,Wyndham,1.0,Little River Reserve,Skating,
Point Cook Road POINT COOK 3030,"['Sport', 'Soccer']","Female, Male, Umpire/Officials, Unisex",5. Very Good,Artificial Turf,,-37.909351,144.752502,Wyndham,3.0,Saltwater Reserve,Soccer,
Tom Robert Parade POINT COOK 3030,"['Sport', 'Soccer']","Female, Male, Umpire/Officials, Unisex",5. Very Good,Grass,,-37.894010000000000,144.727529,Wyndham,2.0,Tom Roberts Parade Reserve,Soccer,
Hoppers Lane WERRIBEE 3030,"['Sport', 'Soccer']","Female, Male",4. Good,Grass,,-37.892629,144.702157,Wyndham,1.0,VU Wyndham Sporting Complex,Soccer,